feature,importance
ore_cost,659
crude_oil,351
dry_bulk_freight,72
steel_etf,598
usd_cny,109
usd_zar,221
chn_electricity,413
covid_disruption,0
ukraine_energy_shock,0
structural_ore_deficit,1
Target_Proxy_ret,358
Target_Proxy_lag1,162
Target_Proxy_lag2,79
Target_Proxy_lag4,174
Target_Proxy_lag6,103
Target_Proxy_lag8,115
Target_Proxy_lag13,193
Target_Proxy_lag26,211
Target_Proxy_rm4,175
Target_Proxy_rz4,177
Target_Proxy_rm8,19
Target_Proxy_rz8,86
Target_Proxy_rm13,52
Target_Proxy_rz13,110
Target_Proxy_rm26,62
Target_Proxy_rz26,111
ore_cost_ret,1076
ore_cost_lag1,73
ore_cost_lag2,70
ore_cost_lag4,195
ore_cost_lag6,196
ore_cost_lag8,115
ore_cost_lag13,297
ore_cost_lag26,482
ore_cost_rm4,62
ore_cost_rz4,157
ore_cost_rm8,62
ore_cost_rz8,97
ore_cost_rm13,63
ore_cost_rz13,107
ore_cost_rm26,107
ore_cost_rz26,100
crude_oil_ret,306
crude_oil_lag1,194
crude_oil_lag2,102
crude_oil_lag4,121
crude_oil_lag6,101
crude_oil_lag8,61
crude_oil_lag13,134
crude_oil_lag26,90
crude_oil_rm4,271
crude_oil_rz4,138
crude_oil_rm8,42
crude_oil_rz8,164
crude_oil_rm13,26
crude_oil_rz13,228
crude_oil_rm26,47
crude_oil_rz26,345
dry_bulk_freight_ret,145
dry_bulk_freight_lag1,81
dry_bulk_freight_lag2,53
dry_bulk_freight_lag4,37
dry_bulk_freight_lag6,44
dry_bulk_freight_lag8,49
dry_bulk_freight_lag13,134
dry_bulk_freight_lag26,77
dry_bulk_freight_rm4,25
dry_bulk_freight_rz4,144
dry_bulk_freight_rm8,17
dry_bulk_freight_rz8,116
dry_bulk_freight_rm13,28
dry_bulk_freight_rz13,120
dry_bulk_freight_rm26,31
dry_bulk_freight_rz26,335
usd_zar_ret,386
usd_zar_lag1,119
usd_zar_lag2,119
usd_zar_lag4,80
usd_zar_lag6,119
usd_zar_lag8,138
usd_zar_lag13,102
usd_zar_lag26,166
usd_zar_rm4,75
usd_zar_rz4,189
usd_zar_rm8,29
usd_zar_rz8,149
usd_zar_rm13,79
usd_zar_rz13,194
usd_zar_rm26,45
usd_zar_rz26,190
steel_etf_ret,288
steel_etf_lag1,59
steel_etf_lag2,50
steel_etf_lag4,48
steel_etf_lag6,61
steel_etf_lag8,43
steel_etf_lag13,146
steel_etf_lag26,181
steel_etf_rm4,34
steel_etf_rz4,132
steel_etf_rm8,19
steel_etf_rz8,118
steel_etf_rm13,22
steel_etf_rz13,120
steel_etf_rm26,36
steel_etf_rz26,56
usd_cny_ret,255
usd_cny_lag1,79
usd_cny_lag2,58
usd_cny_lag4,83
usd_cny_lag6,113
usd_cny_lag8,89
usd_cny_lag13,66
usd_cny_lag26,115
usd_cny_rm4,37
usd_cny_rz4,194
usd_cny_rm8,32
usd_cny_rz8,232
usd_cny_rm13,30
usd_cny_rz13,134
usd_cny_rm26,49
usd_cny_rz26,135
chn_electricity_ret,352
chn_electricity_lag1,285
chn_electricity_lag2,152
chn_electricity_lag4,357
chn_electricity_lag6,185
chn_electricity_lag8,250
chn_electricity_lag13,201
chn_electricity_lag26,158
chn_electricity_rm4,147
chn_electricity_rz4,290
chn_electricity_rm8,294
chn_electricity_rz8,139
chn_electricity_rm13,280
chn_electricity_rz13,146
chn_electricity_rm26,194
chn_electricity_rz26,170
month,167
quarter,0
