feature,importance
ore_cost,1090
crude_oil,289
dry_bulk_freight,84
steel_etf,767
usd_cny,96
usd_zar,244
chn_electricity,0
covid_disruption,0
ukraine_energy_shock,0
structural_ore_deficit,1
Target_Proxy_ret,297
Target_Proxy_lag1,110
Target_Proxy_lag2,79
Target_Proxy_lag4,211
Target_Proxy_lag6,137
Target_Proxy_lag8,135
Target_Proxy_lag13,108
Target_Proxy_lag26,304
Target_Proxy_rm4,93
Target_Proxy_rz4,166
Target_Proxy_rm8,20
Target_Proxy_rz8,95
Target_Proxy_rm13,62
Target_Proxy_rz13,79
Target_Proxy_rm26,51
Target_Proxy_rz26,146
ore_cost_ret,968
ore_cost_lag1,150
ore_cost_lag2,109
ore_cost_lag4,148
ore_cost_lag6,265
ore_cost_lag8,165
ore_cost_lag13,347
ore_cost_lag26,539
ore_cost_rm4,79
ore_cost_rz4,158
ore_cost_rm8,90
ore_cost_rz8,178
ore_cost_rm13,61
ore_cost_rz13,145
ore_cost_rm26,77
ore_cost_rz26,139
crude_oil_ret,354
crude_oil_lag1,184
crude_oil_lag2,120
crude_oil_lag4,184
crude_oil_lag6,131
crude_oil_lag8,168
crude_oil_lag13,102
crude_oil_lag26,182
crude_oil_rm4,237
crude_oil_rz4,227
crude_oil_rm8,176
crude_oil_rz8,246
crude_oil_rm13,97
crude_oil_rz13,355
crude_oil_rm26,43
crude_oil_rz26,992
dry_bulk_freight_ret,165
dry_bulk_freight_lag1,128
dry_bulk_freight_lag2,51
dry_bulk_freight_lag4,61
dry_bulk_freight_lag6,50
dry_bulk_freight_lag8,54
dry_bulk_freight_lag13,106
dry_bulk_freight_lag26,71
dry_bulk_freight_rm4,34
dry_bulk_freight_rz4,157
dry_bulk_freight_rm8,47
dry_bulk_freight_rz8,134
dry_bulk_freight_rm13,18
dry_bulk_freight_rz13,97
dry_bulk_freight_rm26,34
dry_bulk_freight_rz26,188
usd_zar_ret,368
usd_zar_lag1,176
usd_zar_lag2,169
usd_zar_lag4,218
usd_zar_lag6,176
usd_zar_lag8,131
usd_zar_lag13,242
usd_zar_lag26,190
usd_zar_rm4,95
usd_zar_rz4,255
usd_zar_rm8,72
usd_zar_rz8,144
usd_zar_rm13,90
usd_zar_rz13,449
usd_zar_rm26,92
usd_zar_rz26,216
steel_etf_ret,346
steel_etf_lag1,120
steel_etf_lag2,128
steel_etf_lag4,83
steel_etf_lag6,76
steel_etf_lag8,58
steel_etf_lag13,93
steel_etf_lag26,374
steel_etf_rm4,60
steel_etf_rz4,164
steel_etf_rm8,46
steel_etf_rz8,190
steel_etf_rm13,47
steel_etf_rz13,140
steel_etf_rm26,43
steel_etf_rz26,114
usd_cny_ret,273
usd_cny_lag1,110
usd_cny_lag2,79
usd_cny_lag4,103
usd_cny_lag6,65
usd_cny_lag8,104
usd_cny_lag13,90
usd_cny_lag26,148
usd_cny_rm4,19
usd_cny_rz4,318
usd_cny_rm8,36
usd_cny_rz8,296
usd_cny_rm13,32
usd_cny_rz13,266
usd_cny_rm26,44
usd_cny_rz26,149
chn_electricity_ret,0
chn_electricity_lag1,0
chn_electricity_lag2,0
chn_electricity_lag4,0
chn_electricity_lag6,0
chn_electricity_lag8,0
chn_electricity_lag13,0
chn_electricity_lag26,0
chn_electricity_rm4,0
chn_electricity_rz4,0
chn_electricity_rm8,0
chn_electricity_rz8,0
chn_electricity_rm13,0
chn_electricity_rz13,0
chn_electricity_rm26,0
chn_electricity_rz26,0
month,110
quarter,0
